央视频道,#genre#
都市剧场,http://ipipip/rtp/238.1.78.5:7944
乐游,http://ipipip/rtp/238.1.78.151:7080
动漫秀场,http://ipipip/rtp/238.1.78.154:7104
金鹰纪实,http://ipipip/rtp/238.1.79.9:4184
快乐垂钓,http://ipipip/rtp/238.1.79.31:4360
生活时尚,http://ipipip/rtp/238.1.78.155:7112
东方财经·浦东,http://ipipip/rtp/238.1.78.73:6456
金色学堂,http://ipipip/rtp/238.1.78.6:7952
游戏风云,http://ipipip/rtp/238.1.78.4:7936
法治天地,http://ipipip/rtp/238.1.78.7:7960
梨园,http://ipipip/rtp/238.1.79.10:4192
文物宝库,http://ipipip/rtp/238.1.79.16:4240
武术世界,http://ipipip/rtp/238.1.79.8:4176
环球旅游,http://ipipip/rtp/238.1.78.24:6120
四海钓鱼,http://ipipip/rtp/238.1.78.18:4048
其他频道,#genre#
CETV-1,http://ipipip/rtp/238.1.78.158:7136
央视网·相声小品,http://ipipip/rtp/238.1.78.3:7928
央视网·爱生活,http://ipipip/rtp/238.1.78.17:4040
央视网·国学,http://ipipip/rtp/238.1.78.34:4064
央视网·鉴赏,http://ipipip/rtp/238.1.78.38:4096
央视网·墨宝,http://ipipip/rtp/238.1.78.39:4104
央视网·戏曲,http://ipipip/rtp/238.1.78.35:4072
央视网·综艺,http://ipipip/rtp/238.1.78.8:7968
央视网·少儿,http://ipipip/rtp/238.1.78.36:4080
华数·精选,http://ipipip/rtp/238.1.78.19:4056
华数·经典电影,http://ipipip/rtp/238.1.78.252:7888
华数·谍战剧场,http://ipipip/rtp/238.1.78.2:7920
华数·古装剧场,http://ipipip/rtp/238.1.78.12:4000
华数·军旅剧场,http://ipipip/rtp/238.1.78.11:7992
华数·星影,http://ipipip/rtp/238.1.79.7:4168
华数·家庭影院,http://ipipip/rtp/238.1.78.14:4016
华数·动作影院,http://ipipip/rtp/238.1.78.13:4008
华数·武侠剧场,http://ipipip/rtp/238.1.78.16:4032
华数·热播剧场,http://ipipip/rtp/238.1.78.9:7976
4K频道,#genre#
CCTV-16 奥林匹克(50帧),http://ipipip/rtp/238.1.78.138:6976
CCTV-4K 超高清,http://ipipip/rtp/238.1.79.23:4296
CCTV-4K 超高清(50帧),http://ipipip/rtp/238.1.78.136:6960
北京卫视,http://ipipip/rtp/238.1.79.24:4304
江苏卫视,http://ipipip/rtp/238.1.78.37:4088
东方卫视,http://ipipip/rtp/238.1.79.39:4428
浙江卫视,http://ipipip/rtp/238.1.79.28:4336
广东卫视,http://ipipip/rtp/238.1.79.25:4312
深圳卫视,http://ipipip/rtp/238.1.79.26:4320
四川卫视,http://ipipip/rtp/238.1.79.51:4520
湖南卫视,http://ipipip/rtp/238.1.79.38:4416
山东卫视,http://ipipip/rtp/238.1.79.29:4344
华数·4K,http://ipipip/rtp/238.1.78.23:6112
