央视频道,#genre#
张家界公共,http://ipipip/udp/239.76.245.235:1234
张家界公共,http://ipipip/udp/239.76.252.235:9000
衡阳综合,http://ipipip/udp/239.76.248.13:1234
衡阳文旅法治,http://ipipip/udp/239.76.248.14:1234
郴州综合,http://ipipip/udp/239.76.246.75:1234
郴州综合,http://ipipip/udp/239.76.253.75:9000
永州新闻综合,http://ipipip/udp/239.76.248.23:1234
常德综合,http://ipipip/udp/239.76.248.10:1234
区县频道,#genre#
芷江电视台,http://ipipip/udp/239.76.253.67:9000
芷江电视台,http://ipipip/udp/239.76.246.64:1234
临武综合,http://ipipip/udp/239.76.246.66:1234
临武综合,http://ipipip/udp/239.76.253.69:9000
桂东融媒,http://ipipip/udp/239.76.253.231:9000
桂东融媒,http://ipipip/udp/239.76.246.231:1234
卫视频道,#genre#
重庆卫视,http://ipipip/udp/239.76.246.92:1234
重庆卫视,http://ipipip/udp/239.76.253.92:9000
江苏卫视,http://ipipip/udp/239.76.253.181:9000
江苏卫视,http://ipipip/udp/239.76.246.181:1234
浙江卫视,http://ipipip/udp/239.76.246.182:1234
浙江卫视,http://ipipip/udp/239.76.253.182:9000
东方卫视,http://ipipip/udp/239.76.246.186:1234
东方卫视,http://ipipip/udp/239.76.253.186:9000
深圳卫视,http://ipipip/udp/239.76.246.188:1234
深圳卫视,http://ipipip/udp/239.76.253.188:9000
北京卫视,http://ipipip/udp/239.76.246.184:1234
北京卫视,http://ipipip/udp/239.76.253.184:9000
山东卫视,http://ipipip/udp/239.76.253.195:9000
山东卫视,http://ipipip/udp/239.76.246.195:1234
天津卫视,http://ipipip/udp/239.76.253.185:9000
天津卫视,http://ipipip/udp/239.76.246.185:1234
贵州卫视,http://ipipip/udp/239.76.245.198:1234
贵州卫视,http://ipipip/udp/239.76.252.198:9000
四川卫视,http://ipipip/udp/239.76.253.91:9000
四川卫视,http://ipipip/udp/239.76.246.91:1234
云南卫视,http://ipipip/udp/239.76.254.60:9000
广西卫视,http://ipipip/udp/239.76.254.54:9000
黑龙江卫视,http://ipipip/udp/239.76.253.200:9000
黑龙江卫视,http://ipipip/udp/239.76.246.200:1234
安徽卫视,http://ipipip/udp/239.76.245.196:1234
安徽卫视,http://ipipip/udp/239.76.252.196:9000
江西卫视,http://ipipip/udp/239.76.252.225:9000
江西卫视,http://ipipip/udp/239.76.245.225:1234
湖北卫视,http://ipipip/udp/239.76.246.193:1234
湖北卫视,http://ipipip/udp/239.76.253.193:9000
海南卫视,http://ipipip/udp/239.76.253.203:9000
陕西卫视,http://ipipip/udp/239.76.254.76:9000
东南卫视,http://ipipip/udp/239.76.245.190:1234
东南卫视,http://ipipip/udp/239.76.252.190:9000
吉林卫视,http://ipipip/udp/239.76.253.201:9000
吉林卫视,http://ipipip/udp/239.76.246.201:1234
辽宁卫视,http://ipipip/udp/239.76.245.197:1234
辽宁卫视,http://ipipip/udp/239.76.252.197:9000
广东卫视,http://ipipip/udp/239.76.252.189:9000
广东卫视,http://ipipip/udp/239.76.245.189:1234
河南卫视,http://ipipip/udp/239.76.253.202:9000
河南卫视,http://ipipip/udp/239.76.246.202:1234
河南卫视,http://ipipip/udp/239.76.246.203:1234
河北卫视,http://ipipip/udp/239.76.245.199:1234
河北卫视,http://ipipip/udp/239.76.252.199:9000
宁夏卫视,http://ipipip/udp/239.76.252.107:9000
宁夏卫视,http://ipipip/udp/239.76.245.107:1234
甘肃卫视,http://ipipip/udp/239.76.253.94:9000
甘肃卫视,http://ipipip/udp/239.76.246.94:1234
青海卫视,http://ipipip/udp/239.76.254.132:9000
新疆卫视,http://ipipip/udp/239.76.252.109:9000
新疆卫视,http://ipipip/udp/239.76.245.109:1234
西藏卫视,http://ipipip/udp/239.76.245.108:1234
西藏卫视,http://ipipip/udp/239.76.252.108:9000
兵团卫视,http://ipipip/udp/239.76.252.232:9000
兵团卫视,http://ipipip/udp/239.76.245.232:1234
三沙卫视,http://ipipip/udp/239.76.246.74:1234
三沙卫视,http://ipipip/udp/239.76.253.74:9000
凤凰中文,http://ipipip/udp/239.76.253.135:9000
凤凰中文,http://ipipip/udp/239.76.246.134:1234
凤凰资讯,http://ipipip/udp/239.76.246.135:1234
凤凰资讯,http://ipipip/udp/239.76.253.134:9000
动画频道,#genre#
金鹰卡通,http://ipipip/udp/239.76.245.120:1234
金鹰卡通,http://ipipip/udp/239.76.252.120:9000
金鹰卡通,http://ipipip/udp/239.76.246.107:1234
金鹰卡通,http://ipipip/udp/239.76.253.107:9000
卡酷少儿,http://ipipip/udp/239.76.254.81:9000
购物频道,#genre#
快乐购,http://ipipip/udp/239.76.252.125:9000
快乐购,http://ipipip/udp/239.76.245.125:1234
快乐购,http://ipipip/udp/239.76.246.112:1234
优购物,http://ipipip/udp/239.76.254.63:9000
优乐购,http://ipipip/udp/239.76.253.112:9000
其他频道,#genre#
CETV1,http://ipipip/udp/239.76.245.192:1234
CETV1,http://ipipip/udp/239.76.252.192:9000
CETV4,http://ipipip/udp/239.76.252.254:9000
CETV4,http://ipipip/udp/239.76.245.254:1234
CETV早期教育,http://ipipip/udp/239.76.254.202:9000
梨园频道,http://ipipip/udp/239.76.245.179:1234
梨园频道,http://ipipip/udp/239.76.252.179:9000
天元围棋,http://ipipip/udp/239.76.246.2:1234
天元围棋,http://ipipip/udp/239.76.253.2:9000
卫生健康,http://ipipip/udp/239.76.246.247:1234
法治天地,http://ipipip/udp/239.76.254.67:9000
游戏风云,http://ipipip/udp/239.76.254.71:9000
茶频道,http://ipipip/udp/239.76.245.239:1234
茶频道,http://ipipip/udp/239.76.252.239:9000
金色学堂,http://ipipip/udp/239.76.254.75:9000
武术世界,http://ipipip/udp/239.76.245.181:1234
武术世界,http://ipipip/udp/239.76.252.181:9000
金鹰纪实,http://ipipip/udp/239.76.253.110:9000
金鹰纪实,http://ipipip/udp/239.76.246.110:1234
金鹰纪实,http://ipipip/udp/239.76.252.122:9000
金鹰纪实,http://ipipip/udp/239.76.245.122:1234
文物宝库,http://ipipip/udp/239.76.252.180:9000
文物宝库,http://ipipip/udp/239.76.245.180:1234
快乐垂钓,http://ipipip/udp/239.76.246.5:1234
快乐垂钓,http://ipipip/udp/239.76.245.127:1234
快乐垂钓,http://ipipip/udp/239.76.252.127:9000
快乐垂钓,http://ipipip/udp/239.76.253.5:9000
生活时尚,http://ipipip/udp/239.76.254.73:9000
中国天气,http://ipipip/udp/239.76.253.61:9000
中国天气,http://ipipip/udp/239.76.246.61:1234
乐游,http://ipipip/udp/239.76.254.68:9000
动漫秀场,http://ipipip/udp/239.76.254.70:9000
北京纪实科教,http://ipipip/udp/239.76.254.65:9000
东方财经,http://ipipip/udp/239.76.254.69:9000
都市剧场,http://ipipip/udp/239.76.254.74:9000
四海钓鱼,http://ipipip/udp/239.76.246.4:1234
四海钓鱼,http://ipipip/udp/239.76.253.4:9000
4K频道,#genre#
CCTV4K,http://ipipip/udp/239.76.254.64:9000
CCTV4K,http://ipipip/udp/239.76.254.101:9000
CCTV16 4K,http://ipipip/udp/239.76.254.200:9000
CCTV16 4K,http://ipipip/udp/239.76.253.230:9000
北京卫视4K,http://ipipip/udp/239.76.253.150:9000
北京卫视4K,http://ipipip/udp/239.76.246.150:1234
北京卫视4K,http://ipipip/udp/239.76.246.246:1234
东方卫视4K,http://ipipip/udp/239.76.254.224:9000
东方卫视4K,http://ipipip/udp/239.76.254.226:9000
广东卫视4K,http://ipipip/udp/239.76.254.138:9000
深圳卫视4K,http://ipipip/udp/239.76.254.137:9000
湖南卫视4K,http://ipipip/udp/239.76.253.214:9000
湖南卫视4K,http://ipipip/udp/239.76.253.100:9000
湖南卫视4K,http://ipipip/udp/239.76.253.224:9000
湖南卫视4K,http://ipipip/udp/239.76.246.100:1234
湖南卫视4K,http://ipipip/udp/239.76.254.136:9000
湖南卫视4K,http://ipipip/udp/239.76.246.224:1234
湖南卫视4K,http://ipipip/udp/239.76.246.63:1234
湖南卫视4K,http://ipipip/udp/239.76.253.62:9000
山东卫视4K,http://ipipip/udp/239.76.254.228:9000
山东卫视4K,http://ipipip/udp/239.76.254.230:9000
四川卫视4K,http://ipipip/udp/239.76.254.234:9000
四川卫视4K,http://ipipip/udp/239.76.254.232:9000
浙江卫视4K,http://ipipip/udp/239.76.254.222:9000
浙江卫视4K,http://ipipip/udp/239.76.254.220:9000
江苏卫视4K,http://ipipip/udp/239.76.254.216:9000
江苏卫视4K,http://ipipip/udp/239.76.254.218:9000
欢笑剧场4K,http://ipipip/udp/239.76.254.66:9000
欢笑剧场4K,http://ipipip/udp/239.76.253.43:9000
欢笑剧场4K,http://ipipip/udp/239.76.246.43:1234
